Title,Desc,Type,BodyPart,Equipment,Level,Rating,title_id
Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",strength,abdominals,barbell,intermediate,8.5,menurun bar dorongan sit-up
Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",strength,abdominals,barbell,beginner,8.3,bangku barbell roll-out
Barbell Side Bend,,strength,abdominals,barbell,beginner,7.0,barbell samping Bend
Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",strength,abdominals,barbell,intermediate,4.7,duduk bar putaran
Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",strength,abdominals,barbell,intermediate,7.9,satu lengan landmine tarikan and dorongan
Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",strength,abdominals,barbell,intermediate,7.9,barbell Ab Roll Out - Gethin Variation
30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",strength,abdominals,barbell,intermediate,7.9,30 barbell Floor Wiper
30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",strength,abdominals,barbell,intermediate,7.9,30 barbell roll-out
Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",strength,abdominals,barbell,intermediate,7.9,menurun pelat sit-up
KV Barbell Hip Thrust,,strength,abdominals,barbell,intermediate,7.9,KV barbell pinggul Thrust
Advanced Kettlebell Windmill,,strength,abdominals,kettlebells,beginner,8.3,Advanced kettlebell Windmill
Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",strength,abdominals,kettlebells,intermediate,7.7,kettlebell Windmill
Kettlebell Pass Between The Legs,,strength,abdominals,kettlebells,beginner,7.3,kettlebell Pass Between The kaki
Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",strength,abdominals,kettlebells,intermediate,0.0,kettlebell 3-point ekstensi kaki
Double Kettlebell Swing,,strength,abdominals,kettlebells,intermediate,7.9,Double kettlebell Swing
Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",strength,abdominals,kettlebells,intermediate,7.9,burpee over kettlebell
Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",strength,abdominals,kettlebells,intermediate,7.9,kettlebell toe-touch
Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",strength,abdominals,kettlebells,intermediate,7.9,kettlebell swing
Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",strength,abdominals,kettlebells,intermediate,7.9,Two-way swing
Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",strength,abdominals,kettlebells,intermediate,7.9,kettlebell crab reach
Taylor Single-Arm Kettlebell Swing,,strength,abdominals,kettlebells,intermediate,7.9,Taylor satu lengan kettlebell Swing
Holman Kettlebell Up to Elbow Down,,strength,abdominals,kettlebells,intermediate,7.9,Holman kettlebell Up to Elbow Down
FYR2 Double-Kettlebell Ski,,strength,abdominals,kettlebells,intermediate,7.9,FYR2 Double-kettlebell Ski
FYR2 Kettlebell Hike,,strength,abdominals,kettlebells,intermediate,7.9,FYR2 kettlebell Hike
FYR2 Kettlebell Cross-Body Catch,,strength,abdominals,kettlebells,intermediate,7.9,FYR2 kettlebell Cross-Body Catch
FYR2 Kettlebell Duck Walk,,strength,abdominals,kettlebells,intermediate,7.9,FYR2 kettlebell Duck Walk
FYR2 Kettlebell Get-Up Reach,,strength,abdominals,kettlebells,intermediate,7.9,FYR2 kettlebell Get-Up Reach
FYR2 Kettlebell Juggle,,strength,abdominals,kettlebells,intermediate,7.9,FYR2 kettlebell Juggle
FYR2 Squat-Clean-Alternating-Press Complex,,strength,abdominals,kettlebells,intermediate,7.9,FYR2 squat-Clean-bergantian-dorongan Complex
Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",strength,abdominals,dumbbell,intermediate,9.3,dumbbell V-Sit Cross Jab
Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",strength,abdominals,dumbbell,beginner,9.3,dumbbell spell caster
Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",strength,abdominals,dumbbell,intermediate,8.6,dumbbell samping bend
Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",strength,abdominals,dumbbell,intermediate,7.9,dumbbell crunch
Dumbbell Fix Dumbbell Sprawl,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix dumbbell Sprawl
Dumbbell Fix Alternating Renegade Row,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix bergantian Renegade tarikan
Dumbbell Fix Dumbbell Mountain Climber,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix dumbbell pendaki gunung
Dumbbell Fix Dumbbell Russian Twist,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix dumbbell putaran Rusia
Dumbbell Fix Dumbbell Pull-Over,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix dumbbell tarikan-Over
Dumbbell Fix Dumbbell Sit-Up,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix dumbbell sit-up
Dumbbell Fix Dumbbell Front Squat,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix dumbbell squat depan
Dumbbell Fix Full Man Maker,,strength,abdominals,dumbbell,intermediate,7.9,dumbbell Fix Full Man Maker
Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",strength,abdominals,dumbbell,intermediate,7.9,dumbbell T-tahan
Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,strength,abdominals,dumbbell,intermediate,7.9,dumbbell hollow-body floor dorongan
Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",strength,abdominals,dumbbell,intermediate,7.9,dumbbell crusher
Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",strength,abdominals,dumbbell,intermediate,7.9,dumbbell crunch - Gethin Variation
Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",strength,abdominals,dumbbell,intermediate,7.9,satu lengan dumbbell crunch
HM Alternating Dumbbell Plank Row,,strength,abdominals,dumbbell,intermediate,7.9,HM bergantian dumbbell plank tarikan
Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,strength,abdominals,dumbbell,intermediate,7.9,dumbbell straight-legged pinggul angkat
Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,strength,abdominals,dumbbell,intermediate,7.9,duduk kaki tuck with dumbbell
Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",strength,abdominals,dumbbell,intermediate,7.9,dumbbell V-sit cross jab-
30 Hanging Leg Raise With Dumbbell,,strength,abdominals,dumbbell,intermediate,7.9,30 angkat kaki menggantung With dumbbell
Dumbbell Get-Up Sit-Up,,strength,abdominals,dumbbell,expert,7.9,dumbbell Get-Up sit-up
Holman Right Side Plank with Left Triceps Press,,strength,abdominals,dumbbell,intermediate,7.9,Holman Right plank samping with Left trisep dorongan
Holman Left Side Plank with Right Triceps Press,,strength,abdominals,dumbbell,intermediate,7.9,Holman Left plank samping with Right trisep dorongan
Holman Boat with Feet Push-Out and Overhead Press,,strength,abdominals,dumbbell,intermediate,7.9,Holman Boat with Feet dorongan-Out and Overhead dorongan
Holman Hovering Plank Row,,strength,abdominals,dumbbell,intermediate,7.9,Holman Hovering plank tarikan
Holman Weighted Seated Killer Abs to Russian Twist,,strength,abdominals,dumbbell,intermediate,7.9,Holman berbeban duduk Killer Abs to putaran Rusia
Holman Straight Plank Dumbbell Reach-Under,,strength,abdominals,dumbbell,intermediate,7.9,Holman Straight plank dumbbell Reach-Under
Holman Straight-Arm Side Plank Overhead Press to Chest Press,,strength,abdominals,dumbbell,intermediate,7.9,Holman Straight-lengan plank samping Overhead dorongan to dada dorongan
Holman Weighted Burpee to Pike,,strength,abdominals,dumbbell,intermediate,7.9,Holman berbeban burpee to Pike
Holman Straight-Legged Boat Chest Press,,strength,abdominals,dumbbell,intermediate,7.9,Holman Straight-Legged Boat dada dorongan
Holman Weighted Burpee to Side Delt Raise,,strength,abdominals,dumbbell,intermediate,7.9,Holman berbeban burpee to samping Delt angkat
Holman Heavy Double Pike,,strength,abdominals,dumbbell,intermediate,7.9,Holman Heavy Double Pike
Holman Heavy Double Split Pike,,strength,abdominals,dumbbell,intermediate,7.9,Holman Heavy Double Split Pike
MetaBurn Alternating Dumbbell Sit-Through,,strength,abdominals,dumbbell,intermediate,7.9,MetaBurn bergantian dumbbell Sit-Through
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,,strength,abdominals,dumbbell,intermediate,7.9,MetaBurn bergantian plank tarikan With dumbbell tarikan-Through
MetaBurn Alternating Plank Row With Push-Up,,strength,abdominals,dumbbell,intermediate,7.9,MetaBurn bergantian plank tarikan With dorongan-up
MetaBurn Dumbbell Russian Twist,,strength,abdominals,dumbbell,intermediate,7.9,MetaBurn dumbbell putaran Rusia
MetaBurn Dumbbell Toe-Touch,,strength,abdominals,dumbbell,intermediate,7.9,MetaBurn dumbbell Toe-Touch
MetaBurn Plank To Alternating Row,,strength,abdominals,dumbbell,intermediate,7.9,MetaBurn plank To bergantian tarikan
Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",strength,abdominals,dumbbell,intermediate,7.9,berdiri dumbbell knee crunch-
MetaBurn Plank With Dumbbell Rotation,,strength,abdominals,dumbbell,intermediate,7.9,MetaBurn plank With dumbbell Rotation
FYR2 Dumbbell Crab Reach,,strength,abdominals,dumbbell,intermediate,7.9,FYR2 dumbbell Crab Reach
FYR2 Dumbbell Man-Maker,,strength,abdominals,dumbbell,intermediate,7.9,FYR2 dumbbell Man-Maker
FYR2 Dumbbell Sit-Up Reach,,strength,abdominals,dumbbell,intermediate,7.9,FYR2 dumbbell sit-up Reach
FYR2 Loaded Beast Sprawl,,strength,abdominals,dumbbell,intermediate,7.9,FYR2 Loaded Beast Sprawl
FYR2 Loaded to Unloaded Beast,,strength,abdominals,dumbbell,intermediate,7.9,FYR2 Loaded to Unloaded Beast
Lying Leg Pullover,,strength,abdominals,dumbbell,intermediate,7.9,berbaring kaki Pullover
Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",strength,abdominals,other,intermediate,9.5,Landmine putaran
Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",strength,abdominals,other,intermediate,9.3,Suspended ab fall-out
Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",strength,abdominals,other,intermediate,9.2,menurun reverse crunch
Plate Twist,,strength,abdominals,other,beginner,9.0,pelat putaran
Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",strength,abdominals,other,intermediate,8.9,berbeban Crunches
Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",strength,abdominals,other,intermediate,8.9,Ab Roller
Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",strength,abdominals,other,intermediate,8.8,Otis-Up
Captain's chair knee raise,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",strength,abdominals,other,intermediate,8.6,Captain's chair knee angkat
Sledgehammer swing,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,plyometrics,abdominals,other,intermediate,8.6,Sledgehammer swing
Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",strength,abdominals,other,intermediate,8.4,Pallof dorongan
Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",strength,abdominals,other,intermediate,8.0,berbeban Sit-Ups - With Bands
Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",strength,abdominals,other,intermediate,0.0,Suitcase crunch
FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",strength,abdominals,other,intermediate,7.9,FYR tali Jumping
Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",strength,abdominals,other,intermediate,7.9,barbell dorongan sit-up
Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",strength,abdominals,other,intermediate,7.9,satu lengan membungkuk rear delt fly
Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",strength,abdominals,other,intermediate,7.9,Captain's chair kaki angkat
Shoulder-Elevated One-Leg Hip Thrusts,,strength,abdominals,other,intermediate,7.9,bahu-Elevated One-kaki pinggul Thrusts
Ab Twist - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",strength,abdominals,other,intermediate,7.9,Ab putaran - Gethin Variation
Weighted Crunch - Gethin Variation,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",strength,abdominals,other,intermediate,7.9,berbeban crunch - Gethin Variation
Ab Wheel Roll-Out - Gethin Variation,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",strength,abdominals,other,intermediate,7.9,Ab Wheel roll-out - Gethin Variation
Bench crunch,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",strength,abdominals,other,intermediate,7.9,bangku crunch
Decline plate sit-up twist,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",strength,abdominals,other,intermediate,7.9,menurun pelat sit-up putaran
Reverse ab roll-out,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",strength,abdominals,other,intermediate,7.9,Reverse ab roll-out
30 Seated Twist With PVC Pipe,The seated bar twist is a core exercise aiming to strengthen the obliques.,strength,abdominals,other,intermediate,7.9,30 duduk putaran With PVC Pipe
Suspended crunch-,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",strength,abdominals,other,intermediate,7.9,Suspended crunch-
Suspended oblique crunch,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",strength,abdominals,other,intermediate,7.9,Suspended oblique crunch
Weighted sit-up,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",strength,abdominals,other,intermediate,7.9,berbeban sit-up
30 Decline Press Sit-Up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,strength,abdominals,other,intermediate,7.9,30 menurun dorongan sit-up
Holman Towel Reverse Plank Alternating Heel Pull-in,,strength,abdominals,other,intermediate,7.9,Holman Towel Reverse plank bergantian Heel tarikan-in
Holman Boat with Weighted Cross Punch,,strength,abdominals,other,intermediate,7.9,Holman Boat with berbeban Cross Punch
Holman Weighted Hook Punch,,strength,abdominals,other,intermediate,7.9,Holman berbeban Hook Punch
Holman Weighted Traveling Punch,,strength,abdominals,other,intermediate,7.9,Holman berbeban Traveling Punch
Holman Weighted Uppercut Punch,,strength,abdominals,other,intermediate,7.9,Holman berbeban Uppercut Punch
Holman Slow Weighted Double Pike,,strength,abdominals,other,intermediate,7.9,Holman Slow berbeban Double Pike
Holman Plate Straight Plank Reach,,strength,abdominals,other,intermediate,7.9,Holman pelat Straight plank Reach
Holman Plate Elbow Plank Jack to Straight Plank Jack,,strength,abdominals,other,intermediate,7.9,Holman pelat Elbow plank lompat jack to Straight plank lompat jack
Holman Plate Hill Climber,,strength,abdominals,other,intermediate,7.9,Holman pelat Hill Climber
Holman Plate Reverse Plank Hill Climber,,strength,abdominals,other,intermediate,7.9,Holman pelat Reverse plank Hill Climber
Holman Plate Straight Plank Pike to Jack,,strength,abdominals,other,intermediate,7.9,Holman pelat Straight plank Pike to lompat jack
Holman Plate In-and-Out Push-Up,,strength,abdominals,other,intermediate,7.9,Holman pelat In-and-Out dorongan-up
Holman Plate Burpee,,strength,abdominals,other,intermediate,7.9,Holman pelat burpee
Holman Plate Elbow Plank Reach,,strength,abdominals,other,intermediate,7.9,Holman pelat Elbow plank Reach
Holman Elbow Plank to Renegade Row,,strength,abdominals,other,intermediate,7.9,Holman Elbow plank to Renegade tarikan
Holman Straight Plank Weighted Hand Hill Climber,,strength,abdominals,other,intermediate,7.9,Holman Straight plank berbeban Hand Hill Climber
Holman Weighted Left Side Diagonal Pike,,strength,abdominals,other,intermediate,7.9,Holman berbeban Left samping Diagonal Pike
Holman Weighted Right Side Diagonal Pike,,strength,abdominals,other,intermediate,7.9,Holman berbeban Right samping Diagonal Pike
Holman Weighted W-Boat to Overhead Press,,strength,abdominals,other,intermediate,7.9,Holman berbeban W-Boat to Overhead dorongan
Holman Weighted Kneeling Lift,,strength,abdominals,other,intermediate,7.9,Holman berbeban Kneeling angkat
Holman Hips-Up Weighted Pull-Over,,strength,abdominals,other,intermediate,7.9,Holman Hips-Up berbeban tarikan-Over
Holman Weighted Cross Punch,,strength,abdominals,other,intermediate,7.9,Holman berbeban Cross Punch
Holman Straight-Leg Boat Hover Chest Press,,strength,abdominals,other,intermediate,7.9,Holman Straight-kaki Boat Hover dada dorongan
Holman Weighted Pike,,strength,abdominals,other,intermediate,7.9,Holman berbeban Pike
Holman Feet-Elevated Wax-On Wax-Off,,strength,abdominals,other,intermediate,7.9,Holman Feet-Elevated Wax-On Wax-Off
Holman Elbow Plank to Towel Pike,,strength,abdominals,other,intermediate,7.9,Holman Elbow plank to Towel Pike
Holman Seated Killer Abs Overhead Press,,strength,abdominals,other,intermediate,7.9,Holman duduk Killer Abs Overhead dorongan
